iter	Passed	Remaining
978	12063	258
979	12075	246
980	12087	234
981	12098	221
982	12111	209
983	12124	197
984	12134	184
985	12147	172
986	12158	160
987	12170	147
988	12181	135
989	12193	123
990	12205	110
991	12216	98
992	12228	86
993	12240	73
994	12251	61
995	12261	49
996	12272	36
997	12284	24
998	12294	12
999	12307	0
